// Convert item nameid to view
// <nameid>	<IT_type>	<view>	<unused_aegisname>
1101	4	2	Sword
1102	4	2	Sword_
1103	4	2	Sword__
1104	4	2	Falchion
1105	4	2	Falchion_
1106	4	2	Falchion__
1107	4	2	Blade
1108	4	2	Blade_
1109	4	2	Blade__
1110	4	2	Lapier
1111	4	2	Lapier_
1112	4	2	Lapier__
1113	4	2	Scimiter
1114	4	2	Scimiter_
1115	4	2	Scimiter__
1116	4	3	Katana
1117	4	3	Katana_
1118	4	3	Katana__
1119	4	2	Tsurugi
1120	4	2	Tsurugi_
1121	4	2	Tsurugi__
1122	4	2	Ring_Pommel_Saber
1123	4	2	Haedonggum
1124	4	2	Orcish_Sword
1125	4	2	Ring_Pommel_Saber_
1126	4	2	Saber
1127	4	2	Saber_
1128	4	2	Hae_Dong_Gum_
1129	4	2	Flamberge
1130	4	2	Nagan
1131	4	2	Ice_Falchon
1132	4	2	Edge
1133	4	2	Fire_Brand
1134	4	2	Scissores_Sword
1135	4	2	Cutlas
1136	4	2	Solar_Sword
1137	4	2	Excalibur
1138	4	2	Mysteltainn_
1139	4	2	Tale_Fing_
1140	4	2	Byeorrun_Gum
1141	4	2	Immaterial_Sword
1142	4	2	Jewel_Sword
1143	4	2	Gaia_Sword
1144	4	2	Sasimi
1145	4	2	Holy_Avenger
1146	4	2	Town_Sword
1147	4	2	Town_Sword_
1148	4	2	Star_Dust_Blade
1149	4	2	Flamberge_
1151	4	3	Slayer
1152	4	3	Slayer_
1153	4	3	Slayer__
1154	4	3	Bastard_Sword
1155	4	3	Bastard_Sword_
1156	4	3	Bastard_Sword__
1157	4	3	Two_Hand_Sword
1158	4	3	Two_Hand_Sword_
1159	4	3	Two_Hand_Sword__
1160	4	3	Broad_Sword
1161	4	1	Balmung
1162	4	3	Broad_Sword_
1163	4	3	Claymore
1164	4	3	Muramasa
1165	4	3	Masamune
1166	4	3	Dragon_Slayer
1167	4	3	Schweizersabel
1168	4	3	Zweihander
1169	4	3	Executioner_
1170	4	3	Katzbalger
1171	4	3	Zweihander_
1172	4	3	Claymore_
1173	4	3	Muramasa_C
1174	4	3	Executioner_C
1175	4	3	Altas_Weapon
1176	4	3	Muscle_Cutter
1177	4	3	Muramash
1178	4	3	Schweizersabel_
1179	4	3	Executioner__
1180	4	3	Dragon_Slayer_
1181	4	3	Tae_Goo_Lyeon
1182	4	3	Bloody_Eater
1183	4	3	BF_Two_Handed_Sword1
1184	4	3	BF_Two_Handed_Sword2
1185	4	3	Violet_Fear
1186	4	3	Death_Guidance
1187	4	3	Krieger_Twohand_Sword1
1188	4	3	Veteran_Sword
1189	4	3	Krasnaya
1190	4	3	Claymore_C
1191	4	3	Alca_Bringer
1192	4	3	P_Slayer1
1193	4	3	P_Slayer2
1194	4	3	F_Executioner_C
1195	4	3	E_Executioner_C
1196	4	3	Chrome_Twohand_Sword
1197	4	3	P_Slayer3
1198	4	3	Cutlass
1201	4	1	Knife
1202	4	1	Knife_
1203	4	1	Knife__
1204	4	1	Cutter
1205	4	1	Cutter_
1206	4	1	Cutter__
1207	4	1	Main_Gauche
1208	4	1	Main_Gauche_
1209	4	1	Main_Gauche__
1210	4	1	Dirk
1211	4	1	Dirk_
1212	4	1	Dirk__
1213	4	1	Dagger
1214	4	1	Dagger_
1215	4	1	Dagger__
1216	4	1	Stiletto
1217	4	1	Stiletto_
1218	4	1	Stiletto__
1219	4	1	Gladius
1220	4	1	Gladius_
1221	4	1	Gladius__
1222	4	1	Damascus
1223	4	1	Forturn_Sword
1224	4	1	Sword_Breaker
1225	4	1	Mail_Breaker
1226	4	1	Damascus_
1227	4	1	Weeder_Knife
1228	4	1	Combat_Knife
1229	4	1	Mama's_Knife
1230	4	1	House_Auger
1231	4	1	Bazerald
1232	4	1	Assasin_Dagger
1233	4	1	Exercise
1234	4	1	Moonlight_Sword
1235	4	1	Azoth
1236	4	1	Sucsamad
1237	4	1	Grimtooth_
1238	4	1	Zeny_Knife
1239	4	1	Poison_Knife
1240	4	1	Princess_Knife
1241	4	1	Cursed_Dagger
1242	4	1	Counter_Dagger
1243	4	1	Novice_Knife
1244	4	1	Holy_Dagger
1245	4	1	Cinquedea
1246	4	1	Cinquedea_
1247	4	1	Kindling_Dagger
1248	4	1	Obsidian_Dagger
1249	4	1	Fisherman's_Dagger
1250	4	16	Jur
1251	4	16	Jur_
1252	4	16	Katar
1253	4	16	Katar_
1254	4	16	Jamadhar
1255	4	16	Jamadhar_
1256	4	16	Katar_Of_Cold_Icicle
1257	4	16	Katar_Of_Thornbush
1258	4	16	Katar_Of_Raging_Blaze
1259	4	16	Katar_Of_Piercing_Wind
1260	4	16	Ghoul_Leg
1261	4	16	Infiltrator
1262	4	16	Nail_Of_Loki
1263	4	16	Unholy_Touch
1264	4	16	Various_Jur
1265	4	16	Bloody_Roar
1266	4	16	Infiltrator_
1267	4	16	Infiltrator_C
1268	4	16	Wild_Beast_Claw
1269	4	16	Inverse_Scale
1270	4	16	Drill_Katar
1271	4	16	Blood_Tears
1272	4	16	Scratcher
1273	4	16	Bloody_Roar_C
1274	4	16	Unholy_Touch_C
1275	4	16	Katar_Of_Cold_Icicle_
1276	4	16	Katar_Of_Thornbush_
1277	4	16	Katar_Of_Raging_Blaze_
1278	4	16	Katar_Of_Piercing_Wind_
1279	4	16	BF_Katar1
1280	4	16	BF_Katar2
1281	4	16	Krieger_Katar1
1282	4	16	Krieger_Katar2
1283	4	16	Katar_Of_Speed
1284	4	16	Krishna
1285	4	16	Cakram
1286	4	16	Jamadhar_C
1287	4	16	Durga
1288	4	16	Bloody_Fear_C
1289	4	16	P_Katar1
1290	4	16	Agent_Katar
1291	4	16	Guillotine_Katar
1293	4	16	Bellum_Jahmadar
1294	4	16	Bellum_Scale
1301	4	6	Axe
1302	4	6	Axe_
1303	4	6	Axe__
1304	4	6	Orcish_Axe
1305	4	6	Cleaver
1306	4	6	War_Axe
1307	4	6	Windhawk
1308	4	6	Golden_Axe
1309	4	6	Orcish_Axe_
1310	4	6	Krieger_Onehand_Axe1
1311	4	6	Vecer_Axe
1312	4	6	Orcish_Axe_C
1313	4	6	Tourist_Axe
1314	4	7	F_Tomahawk_C
1315	4	7	F_Right_Epsilon_C
1351	4	7	Battle_Axe
1352	4	7	Battle_Axe_
1353	4	7	Battle_Axe__
1354	4	7	Hammer
1355	4	7	Hammer_
1356	4	7	Hammer__
1357	4	7	Buster
1358	4	7	Buster_
1359	4	7	Buster__
1360	4	7	Two_Handed_Axe
1361	4	7	Two_Handed_Axe_
1362	4	7	Two_Handed_Axe__
1363	4	7	Brood_Axe
1364	4	7	Great_Axe
1365	4	7	Sabbath
1366	4	7	Right_Epsilon
1367	4	7	Slaughter
1368	4	7	Tomahawk
1369	4	7	Guillotine
1370	4	7	Doom_Slayer
1371	4	7	Doom_Slayer_
1372	4	7	Right_Epsilon_C
1373	4	7	Brood_Axe_C
1374	4	7	Tomahawk_C
1375	4	7	Berdysz
1376	4	7	Heart_Breaker
1377	4	7	Hurricane_Fury
1378	4	7	Great_Axe_C
1379	4	7	BF_Two_Handed_Axe1
1380	4	7	BF_Two_Handed_Axe2
1381	4	7	N_Battle_Axe
